gav,compatible_versions
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.0,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.1,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.17,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.18,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.19,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.2,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.20,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.21,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.22,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.23,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.24,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.25,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.26,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.27,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.28,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.29,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.3,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.30,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.31,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.33,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.34,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.35,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.36,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.37,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.38,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.39,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.4,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.4.3,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.40,"['1.1.43', '1.1.42', '1.1.41', '1.1.40']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.41,"['1.1.43', '1.1.42', '1.1.41']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.42,"['1.1.43', '1.1.42']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.5,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.6,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.7,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.1.8,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:9.14.4,"['9.22.84', '9.22.83', '9.22.82', '9.22.81', '9.22.80', '9.22.79', '9.22.78', '9.22.77', '9.22.76', '9.22.75', '9.22.74', '9.22.73', '9.22.72', '9.22.71', '9.22.70', '9.22.69', '9.22.68', '9.22.67', '9.22.66', '9.22.65', '9.22.64', '9.22.63', '9.22.62', '9.22.61', '9.22.59', '9.22.58', '9.22.57', '9.22.56', '9.22.55', '9.22.54', '9.22.53', '9.22.52', '9.22.51', '9.22.50.7', '9.22.50.6', '9.22.50.5', '9.22.50.4', '9.22.50.3', '9.22.50.2', '9.22.50', '9.22.49', '9.22.48', '9.22.47', '9.22.46', '9.22.45', '9.22.44', '9.22.43', '9.22.42', '9.22.41', '9.22.40', '9.22.39', '9.22.38', '9.22.37', '9.22.36', '9.22.35', '9.22.34', '9.22.33', '9.22.32', '9.22.31', '9.22.30', '9.22.29', '9.22.28', '9.22.27', '9.22.26', '9.22.25', '9.22.24', '9.22.23', '9.22.22', '9.22.21', '9.22.20', '9.22.19', '9.22.18', '9.22.17', '9.22.16', '9.22.15', '9.22.14', '9.22.13', '9.22.12', '9.22.11', '9.22.10', '9.22.9', '9.22.8', '9.22.7', '9.22.6', '9.22.5', '9.22.4', '9.22.3', '9.22.2', '9.22.0', '9.21.10', '9.21.9', '9.21.8', '9.21.7', '9.21.6', '9.21.5', '9.21.4', '9.21.3', '9.21.2', '9.21.1', '9.21.0', '9.20.88', '9.20.87', '9.20.86', '9.20.85', '9.20.84', '9.20.83', '9.20.82', '9.20.81', '9.20.80', '9.20.79', '9.20.78', '9.20.77', '9.20.76', '9.20.75', '9.20.74', '9.20.73', '9.20.72', '9.20.71', '9.20.70', '9.20.69', '9.20.68', '9.20.67', '9.20.66', '9.20.65', '9.20.64', '9.20.63', '9.20.61', '9.20.60', '9.20.59', '9.20.58', '9.20.57', '9.20.56', '9.20.55', '9.20.54', '9.20.53', '9.20.52', '9.20.51', '9.20.50', '9.20.49', '9.20.48', '9.20.47', '9.20.46', '9.20.45', '9.20.44', '9.20.43', '9.20.42', '9.20.41', '9.20.40', '9.20.39', '9.20.38', '9.20.37', '9.20.36', '9.20.35', '9.20.34', '9.20.33', '9.20.32', '9.20.31', '9.20.30', '9.20.29', '9.20.28', '9.20.27', '9.20.26', '9.20.25', '9.20.24', '9.20.23', '9.20.22', '9.20.21', '9.20.20', '9.20.19', '9.20.18', '9.20.17', '9.20.16', '9.20.15', '9.20.14', '9.20.13', '9.20.12', '9.20.11', '9.20.10', '9.20.9', '9.20.8', '9.20.7', '9.20.6', '9.20.5', '9.20.4', '9.20.3', '9.20.2', '9.20.1', '9.20.0', '9.19.2', '9.19.1', '9.19.0', '9.18.25', '9.18.24', '9.18.23', '9.18.22', '9.18.21', '9.18.20', '9.18.19', '9.18.18', '9.18.17', '9.18.16', '9.18.15', '9.18.14', '9.18.13', '9.18.12', '9.18.11', '9.18.10', '9.18.9', '9.18.8', '9.18.7', '9.18.6', '9.18.5', '9.18.4', '9.18.3', '9.18.2', '9.18.1', '9.18.0', '9.17.2', '9.17.1', '9.17.0', '9.16.5', '9.16.4', '9.16.3', '9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6', '9.14.5', '9.14.4']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:9.14.5,"['9.22.84', '9.22.83', '9.22.82', '9.22.81', '9.22.80', '9.22.79', '9.22.78', '9.22.77', '9.22.76', '9.22.75', '9.22.74', '9.22.73', '9.22.72', '9.22.71', '9.22.70', '9.22.69', '9.22.68', '9.22.67', '9.22.66', '9.22.65', '9.22.64', '9.22.63', '9.22.62', '9.22.61', '9.22.59', '9.22.58', '9.22.57', '9.22.56', '9.22.55', '9.22.54', '9.22.53', '9.22.52', '9.22.51', '9.22.50.7', '9.22.50.6', '9.22.50.5', '9.22.50.4', '9.22.50.3', '9.22.50.2', '9.22.50', '9.22.49', '9.22.48', '9.22.47', '9.22.46', '9.22.45', '9.22.44', '9.22.43', '9.22.42', '9.22.41', '9.22.40', '9.22.39', '9.22.38', '9.22.37', '9.22.36', '9.22.35', '9.22.34', '9.22.33', '9.22.32', '9.22.31', '9.22.30', '9.22.29', '9.22.28', '9.22.27', '9.22.26', '9.22.25', '9.22.24', '9.22.23', '9.22.22', '9.22.21', '9.22.20', '9.22.19', '9.22.18', '9.22.17', '9.22.16', '9.22.15', '9.22.14', '9.22.13', '9.22.12', '9.22.11', '9.22.10', '9.22.9', '9.22.8', '9.22.7', '9.22.6', '9.22.5', '9.22.4', '9.22.3', '9.22.2', '9.22.0', '9.21.10', '9.21.9', '9.21.8', '9.21.7', '9.21.6', '9.21.5', '9.21.4', '9.21.3', '9.21.2', '9.21.1', '9.21.0', '9.20.88', '9.20.87', '9.20.86', '9.20.85', '9.20.84', '9.20.83', '9.20.82', '9.20.81', '9.20.80', '9.20.79', '9.20.78', '9.20.77', '9.20.76', '9.20.75', '9.20.74', '9.20.73', '9.20.72', '9.20.71', '9.20.70', '9.20.69', '9.20.68', '9.20.67', '9.20.66', '9.20.65', '9.20.64', '9.20.63', '9.20.61', '9.20.60', '9.20.59', '9.20.58', '9.20.57', '9.20.56', '9.20.55', '9.20.54', '9.20.53', '9.20.52', '9.20.51', '9.20.50', '9.20.49', '9.20.48', '9.20.47', '9.20.46', '9.20.45', '9.20.44', '9.20.43', '9.20.42', '9.20.41', '9.20.40', '9.20.39', '9.20.38', '9.20.37', '9.20.36', '9.20.35', '9.20.34', '9.20.33', '9.20.32', '9.20.31', '9.20.30', '9.20.29', '9.20.28', '9.20.27', '9.20.26', '9.20.25', '9.20.24', '9.20.23', '9.20.22', '9.20.21', '9.20.20', '9.20.19', '9.20.18', '9.20.17', '9.20.16', '9.20.15', '9.20.14', '9.20.13', '9.20.12', '9.20.11', '9.20.10', '9.20.9', '9.20.8', '9.20.7', '9.20.6', '9.20.5', '9.20.4', '9.20.3', '9.20.2', '9.20.1', '9.20.0', '9.19.2', '9.19.1', '9.19.0', '9.18.25', '9.18.24', '9.18.23', '9.18.22', '9.18.21', '9.18.20', '9.18.19', '9.18.18', '9.18.17', '9.18.16', '9.18.15', '9.18.14', '9.18.13', '9.18.12', '9.18.11', '9.18.10', '9.18.9', '9.18.8', '9.18.7', '9.18.6', '9.18.5', '9.18.4', '9.18.3', '9.18.2', '9.18.1', '9.18.0', '9.17.2', '9.17.1', '9.17.0', '9.16.5', '9.16.4', '9.16.3', '9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6', '9.14.5']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:9.14.6,"['9.22.84', '9.22.83', '9.22.82', '9.22.81', '9.22.80', '9.22.79', '9.22.78', '9.22.77', '9.22.76', '9.22.75', '9.22.74', '9.22.73', '9.22.72', '9.22.71', '9.22.70', '9.22.69', '9.22.68', '9.22.67', '9.22.66', '9.22.65', '9.22.64', '9.22.63', '9.22.62', '9.22.61', '9.22.59', '9.22.58', '9.22.57', '9.22.56', '9.22.55', '9.22.54', '9.22.53', '9.22.52', '9.22.51', '9.22.50.7', '9.22.50.6', '9.22.50.5', '9.22.50.4', '9.22.50.3', '9.22.50.2', '9.22.50', '9.22.49', '9.22.48', '9.22.47', '9.22.46', '9.22.45', '9.22.44', '9.22.43', '9.22.42', '9.22.41', '9.22.40', '9.22.39', '9.22.38', '9.22.37', '9.22.36', '9.22.35', '9.22.34', '9.22.33', '9.22.32', '9.22.31', '9.22.30', '9.22.29', '9.22.28', '9.22.27', '9.22.26', '9.22.25', '9.22.24', '9.22.23', '9.22.22', '9.22.21', '9.22.20', '9.22.19', '9.22.18', '9.22.17', '9.22.16', '9.22.15', '9.22.14', '9.22.13', '9.22.12', '9.22.11', '9.22.10', '9.22.9', '9.22.8', '9.22.7', '9.22.6', '9.22.5', '9.22.4', '9.22.3', '9.22.2', '9.22.0', '9.21.10', '9.21.9', '9.21.8', '9.21.7', '9.21.6', '9.21.5', '9.21.4', '9.21.3', '9.21.2', '9.21.1', '9.21.0', '9.20.88', '9.20.87', '9.20.86', '9.20.85', '9.20.84', '9.20.83', '9.20.82', '9.20.81', '9.20.80', '9.20.79', '9.20.78', '9.20.77', '9.20.76', '9.20.75', '9.20.74', '9.20.73', '9.20.72', '9.20.71', '9.20.70', '9.20.69', '9.20.68', '9.20.67', '9.20.66', '9.20.65', '9.20.64', '9.20.63', '9.20.61', '9.20.60', '9.20.59', '9.20.58', '9.20.57', '9.20.56', '9.20.55', '9.20.54', '9.20.53', '9.20.52', '9.20.51', '9.20.50', '9.20.49', '9.20.48', '9.20.47', '9.20.46', '9.20.45', '9.20.44', '9.20.43', '9.20.42', '9.20.41', '9.20.40', '9.20.39', '9.20.38', '9.20.37', '9.20.36', '9.20.35', '9.20.34', '9.20.33', '9.20.32', '9.20.31', '9.20.30', '9.20.29', '9.20.28', '9.20.27', '9.20.26', '9.20.25', '9.20.24', '9.20.23', '9.20.22', '9.20.21', '9.20.20', '9.20.19', '9.20.18', '9.20.17', '9.20.16', '9.20.15', '9.20.14', '9.20.13', '9.20.12', '9.20.11', '9.20.10', '9.20.9', '9.20.8', '9.20.7', '9.20.6', '9.20.5', '9.20.4', '9.20.3', '9.20.2', '9.20.1', '9.20.0', '9.19.2', '9.19.1', '9.19.0', '9.18.25', '9.18.24', '9.18.23', '9.18.22', '9.18.21', '9.18.20', '9.18.19', '9.18.18', '9.18.17', '9.18.16', '9.18.15', '9.18.14', '9.18.13', '9.18.12', '9.18.11', '9.18.10', '9.18.9', '9.18.8', '9.18.7', '9.18.6', '9.18.5', '9.18.4', '9.18.3', '9.18.2', '9.18.1', '9.18.0', '9.17.2', '9.17.1', '9.17.0', '9.16.5', '9.16.4', '9.16.3', '9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6']"
